Tipo_joyeria,Precio,Estilo,Material,Popularidad,Promociones,Opiniones_clientes
Collares,Bajo,Moderno,Plata,Baja,No,Positivas
Anillos,Medio,Clasico,Oro,Media,Si,Positivas
Pulseras,Alto,Moderno,Platino,Alta,No,Positivas
Pendientes,Alto,Clasico,Oro,Alta,Si,Positivas
Collares,Medio,Vintage,Plata,Media,No,Positivas
Anillos,Bajo,Moderno,Oro,Baja,Si,Negativas
Pulseras,Alto,Clasico,Plata,Alta,No,Positivas
Pendientes,Medio,Moderno,Oro,Media,Si,Positivas
Collares,Bajo,Vintage,Platino,Baja,No,Negativas
Anillos,Alto,Moderno,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Plata,Media,No,Positivas
Pendientes,Alto,Vintage,Oro,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,Si,Positivas
Anillos,Bajo,Clasico,Platino,Baja,No,Positivas
Pulseras,Alto,Vintage,Oro,Alta,Si,Positivas
Pendientes,Medio,Moderno,Plata,Media,No,Negativas
Collares,Bajo,Clasico,Oro,Baja,No,Positivas
Anillos,Alto,Vintage,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Platino,Media,No,Negativas
Pendientes,Alto,Moderno,Plata,Alta,Si,Positivas
Collares,Bajo,Vintage,Oro,Baja,No,Positivas
Anillos,Medio,Clasico,Plata,Media,Si,Positivas
Pulseras,Alto,Vintage,Oro,Alta,No,Positivas
Pendientes,Medio,Moderno,Platino,Media,Si,Positivas
Pulseras,Medio,Clasico,Plata,Alta,Si,Positivas
Anillos,Bajo,Vintage,Oro,Baja,Si,Positivas
Collares,Medio,Moderno,Platino,Media,No,Negativas
Pendientes,Alto,Moderno,Plata,Alta,No,Positivas
Anillos,Bajo,Clasico,Oro,Baja,No,Positivas
Pulseras,Alto,Vintage,Plata,Alta,Si,Negativas
Collares,Medio,Moderno,Oro,Media,Si,Positivas
Pendientes,Alto,Vintage,Plata,Alta,Si,Positivas
Anillos,Medio,Moderno,Oro,Media,No,Negativas
Pulseras,Bajo,Clasico,Platino,Baja,Si,Positivas
Anillos,Alto,Vintage,Oro,Alta,No,Positivas
Pendientes,Medio,Clasico,Plata,Media,Si,Positivas
Collares,Bajo,Moderno,Oro,Baja,No,Positivas
Pulseras,Alto,Moderno,Plata,Alta,Si,Negativas
Anillos,Medio,Clasico,Oro,Media,No,Positivas
Pendientes,Alto,Vintage,Platino,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,No,Positivas
Pulseras,Bajo,Clasico,Oro,Baja,Si,Negativas
Anillos,Alto,Vintage,Plata,Alta,No,Positivas
Pendientes,Medio,Moderno,Oro,Media,Si,Positivas
Collares,Bajo,Clasico,Platino,Baja,No,Negativas
Pulseras,Alto,Vintage,Plata,Alta,Si,Positivas
Anillos,Medio,Moderno,Oro,Media,No,Positivas
Pendientes,Alto,Clasico,Plata,Alta,No,Negativas
Aretes,Alto,Vintage,Oro,Alta,Si,Positivas
