Tipo_joyeria,Precio,Estilo,Material,Popularidad,Promociones,Opiniones_clientes
Collares,Bajo,Moderno,Plata,Baja,No,Positivas
Anillos,Medio,Clasico,Oro,Media,Si,Positivas
Pulseras,Alto,Moderno,Platino,Alta,No,Positivas
Pendientes,Alto,Clasico,Oro,Alta,Si,Positivas
Collares,Medio,Vintage,Plata,Media,No,Positivas
Anillos,Bajo,Moderno,Oro,Baja,Si,Negativas
Pulseras,Alto,Clasico,Plata,Alta,No,Positivas
Pendientes,Medio,Moderno,Oro,Media,Si,Positivas
Collares,Bajo,Vintage,Platino,Baja,No,Negativas
Anillos,Alto,Moderno,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Plata,Media,No,Positivas
Pendientes,Alto,Vintage,Oro,Alta,No,Negativas
Collares,Medio,Moderno,Plata,Media,Si,Positivas
Anillos,Bajo,Clasico,Platino,Baja,No,Positivas
Pulseras,Alto,Vintage,Oro,Alta,Si,Positivas
Pendientes,Medio,Moderno,Plata,Media,No,Negativas
Collares,Bajo,Clasico,Oro,Baja,No,Positivas
Anillos,Alto,Vintage,Plata,Alta,Si,Positivas
Pulseras,Medio,Clasico,Platino,Media,No,Negativas
Pendientes,Alto,Moderno,Plata,Alta,Si,Positivas
Collares,Bajo,Vintage,Oro,Baja,No,Positivas
Anillos,Medio,Clasico,Plata,Media,Si,Positivas
Pulseras,Alto,Vintage,Oro,Alta,No,Positivas
Pendientes,Medio,Moderno,Platino,Media,Si,Positivas
